Date,incomesize2,Numberofreturns,AGIlessdeficit,1040DTaxableNetGainNumReturns,1040DTaxableNetGainTotal,1040DTaxableNetLossNumReturns,1040DTaxableNetLossTotal,AlimonyNumReturns,AlimonyTotal,AnnutitesTaxableNumReturns,AnnutitesTaxableTotal,AnnutitiesTotalNumReturns,AnnutitiesTotalTotal,BusinessProfNetIncomeNumReturns,BusinessProfNetIncomeTotal,BusinessProfNetLossNumReturns,BusinessProfNetLossTotal,CapitalGainDistributionsNumReturns,CapitalGainDistributionsTotal,EstateAndTrustNetIncomeNumReturns,EstateAndTrustNetIncomeTotal,EstateAndTrustNetLossNumReturns,EstateAndTrustNetLossTotal,FarmNetIncomeNumReturns,FarmNetIncomeTotal,FarmNetLossNumReturns,FarmNetLossTotal,FarmRentalNetIncomeNumReturns,FarmRentalNetIncomeTotal,FarmRentalNetLossNumReturns,FarmRentalNetLossTotal,NetGainOtherThanCapitalAssetsNumReturns,NetGainOtherThanCapitalAssetsTotal,NetLossOtherThanCapitalAssetsNumReturns,NetLossOtherThanCapitalAssetsTotal,OrdinaryDividendsNumReturns,OrdinaryDividendsTotal,PartnershipAndScorpNetIncomeNumReturns,PartnershipAndScorpNetIncomeTotal,PartnershipAndSCorpNetLossNumReturns,PartnershipAndSCorpNetLossTotal,QualifiedDividendsNumReturns,QualifiedDividendsTotal,RentNetIncomeNumReturns,RentNetIncomeTotal,RentNetLossNumReturns,RentNetLossTotal,RoyaltyNetIncomeNumReturns,RoyaltyNetIncomeTotal,RoyaltyNetLossNumReturns,RoyaltyNetLossTotal,SalariesAndWagesNumReturns,SalariesAndWagesTotal,StateIncomeTaxNumReturns,StateIncomeTaxTotal,TaxableInterestNumReturns,TaxableInterestTotal,TaxableIRADistibutionsNumReturns,TaxableIRADistibutionsTotal,TaxExemptInterestNumReturns,TaxExemptInterestTotal,TotalRentAndRoyaltyNetIncomeNumReturns,TotalRentAndRoyaltyNetIncomeTotal,TotalRentAndRoyaltyNetLossNumReturns,TotalRentAndRoyaltyNetLossTotal,UnemploymentCompensationNumReturns,UnemploymentCompensationTotal
2011,0 to 50k,95038739,1.77E+12,2835335,27865600000,4600292,10472261000,280480,3311890000,13637858,1.69E+11,14348381,2.33E+11,11172464,1.18E+11,2888021,30895356000,780626,564010000,148817,1504970000,19208,1089852000,285632,3090577000,607716,11207312000,170321,1078405000,57674,269955000,305242,3437966000,377491,20030113000,10440771,29631759000,1304012,19783354000,1081547,68283487000,9272312,18987397000,1860236,14413338000,2108838,22840764000,561629,1988063000,21700,49229000,75071420,1.56E+12,4671019,3129605000,21991851,27188805000,6002373,45720504000,1692848,11209911000,2413146,16798377000,2098146,22655677000,9165050,62636772000
2011,50k to 200k,45631445,4.17E+12,4262050,45247121000,5609981,12697667000,148053,4492560000,12089459,3.59E+11,13331092,5.41E+11,5344254,1.24E+11,2379817,16110945000,954422,942407000,288285,4982469000,18079,115014000,271524,7568593000,580010,8808393000,225936,2991225000,50404,246499000,390818,3286382000,429342,4961603000,14053442,58814808000,2601111,85775266000,1296923,16578640000,12774458,39991206000,2170998,26449954000,2965587,27542042000,803365,5756704000,19029,63215000,40302904,3.21E+12,15793003,15753733000,25913114,36112258000,6229568,1.21E+11,3002775,23207843000,2891007,34331872000,2623987,22013909000,3847367,28381319000
2011,200k to 1mil,4399166,1.48E+12,1188856,73136764000,1503601,3779434000,7970,863321000,978060,48092427000,1229679,1.20E+11,789116,74503447000,267956,4316864000,143249,232646000,94992,5497519000,12473,308508000,32609,3236739000,78993,2898098000,28943,1155207000,7532,62851000,158535,2659894000,214394,3137312000,2999284,44772582000,1199273,1.92E+11,374335,13571618000,2847130,33867103000,464986,18070346000,595788,10125664000,253452,7739570000,10008,42273000,3935824,9.81E+11,1521205,4161656000,3867157,23346206000,724064,38819561000,1112989,20795122000,633663,26390268000,191716,4098537000,155340,1335778000
2011,1mil and up,300890,9.48E+11,145714,2.56E+11,126059,357728000,221,109579000,51789,4189757000,72051,15683589000,55429,20789157000,20818,2917638000,3895,38518000,16492,10217240000,4597,1081769000,2885,666142000,7843,1250475000,2930,125670000,0,0,45291,6881133000,55084,2586784000,268857,61390657000,169556,2.50E+11,55117,24129201000,260974,49169636000,47934,6832659000,49804,2103145000,59540,6740545000,3088,71255000,249558,3.06E+11,130448,4487757000,295361,33464404000,52882,11550666000,179696,17782529000,91560,13661927000,28210,1389315000,3229,29824000
2012,0 to 50k,92940570,1.74E+12,2961319,25814393000,4031297,9250634000,271156,3132435000,13503173,1.71E+11,14196899,2.35E+11,11171419,1.21E+11,2790034,29282258000,985049,584956000,142681,1508141000,18195,1060328000,262824,3032419000,562388,10497966000,165796,999407000,49310,230224000,262206,3337458000,403185,18751182000,10001492,27584687000,1309984,22073815000,1017725,55751695000,8944879,17743871000,1824789,13987681000,1951675,19193906000,629850,2016830000,17348,79345000,74069574,1.55E+12,4507603,2765899000,19001621,20802847000,5869570,45032083000,1553585,9743455000,2436359,16285477000,1948884,19823270000,7774980,46777437000
2012,50k to 200k,46735910,4.32E+12,5005059,54975899000,4951258,11194997000,159669,4515676000,12600864,3.78E+11,13808952,5.74E+11,5450377,1.28E+11,2340102,15231977000,1293056,1293990000,303695,5111474000,25379,115219000,275572,8381124000,580445,8417118000,237938,3613922000,47890,306572000,387744,3623556000,440294,4969950000,14323044,63032761000,2720463,88691925000,1227129,14482600000,13061388,44469624000,2334275,29471814000,2963280,26209909000,891886,6253237000,30185,122904000,41150867,3.30E+12,15729131,15715247000,24449817,30209672000,6416845,1.24E+11,2992794,20891710000,3138548,38396355000,2630846,21517967000,3406549,23248905000
2012,200k to 1mil,4859141,1.66E+12,1564689,1.09E+11,1372315,3392783000,9576,1288376000,1113939,57415029000,1412146,1.45E+11,880338,81331542000,306145,4284085000,196794,315627000,115901,6893154000,10830,296885000,46036,5376063000,92773,3397981000,36116,1493492000,5783,62834000,190656,3453328000,224847,3083711000,3300877,56510735000,1344618,2.14E+11,394301,13033328000,3144896,44504478000,549114,20117688000,664561,10075287000,290176,7617492000,11767,42049000,4309370,1.07E+12,1613038,4174905000,4136697,21952556000,833319,42775279000,1183945,20423525000,730507,28548784000,220797,4565738000,157053,1176982000
2012,1mil and up,392850,1.38E+12,230600,4.55E+11,124895,348031000,0,0,71732,6382758000,98880,21654354000,69705,26005603000,26604,3461046000,4641,21958000,23769,14393292000,5646,1251823000,4640,1396010000,11010,1404239000,4003,328824000,1126,26470000,67229,9985727000,62945,2953183000,349563,1.13E+11,223234,3.23E+11,68940,29973340000,339658,97683550000,67678,8864256000,64988,2574876000,81414,8648543000,4318,78519000,321235,3.88E+11,155496,4805966000,384374,38824538000,75912,19214338000,224496,20007362000,124471,17639443000,39082,1893403000,3778,30807000
2013,0 to 50k,93564192,1.76E+12,3305678,28839869000,3440466,7832393000,261097,3040168000,13408551,1.70E+11,14058398,2.32E+11,11420476,1.21E+11,2792281,31293513000,1349098,1562772000,142748,1529559000,14797,1185525000,260858,3063404000,546244,11407586000,140897,1043594000,47337,218311000,282538,3483222000,378881,14609588000,9477182,24221056000,1270098,21950521000,952374,58451891000,8509526,15204914000,1817987,13460024000,1778608,16959205000,674515,2403582000,24380,121629000,75021369,1.58E+12,4039058,2678639000,16927761,17658815000,5833458,45232932000,1489323,9090810000,2460543,16150319000,1760392,16984962000,6068358,32391276000
2013,50k to 200k,48228862,4.48E+12,6102101,72413882000,4251577,9800169000,164064,4604394000,13106822,4.05E+11,14360370,6.32E+11,5544282,1.31E+11,2433093,16224851000,1825555,3449737000,303638,5434476000,24655,113632000,278518,8240384000,577377,9019207000,233365,3443461000,44630,219325000,428383,3937728000,475368,4746799000,14405796,64660052000,2863637,95300250000,1259566,17163760000,13340147,45925267000,2428143,30876719000,3019374,25450092000,1087887,6350523000,41293,135607000,42254689,3.40E+12,15360074,15335954000,23394175,26792596000,6630524,1.27E+11,3055933,20916885000,3370038,39775493000,2710987,22030634000,3076933,18607397000
